d_bathrobes,d_bathtub,d_bidet,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_dining_table,d_dishwasher,d_elevator,d_fire_extinguisher,d_first_aid_kit,d_hair_dryer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_housekeeping,d_indoor_fireplace,d_iron,d_keypad,d_pets_allowed,d_pool,d_self_checkin,d_smart_lock,d_smoke_alarm,d_smoking_allowed,d_wifi,d_tv,d_air_conditioning,d_washer,d_sound_system,d_stove_or_oven,d_dryer,d_workspace,d_refrigerator,d_free_parking,d_kid_friendly,d_heating,d_bedroom_essentials,d_kitchenware,d_entertainment,d_clothing_storage,d_toiletries,d_fitness_centre,d_garden_backyard_balcony_agg,d_kitchen,d_safe_box,d_essentials,f_property_type,f_neighbourhood_cleansed,euro_price_day,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_bedrooms,n_minimum_nights,n_beds,n_reviews_per_month,price,id,neighbourhood_cleansed,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_bedrooms,ln_number_of_reviews,f_bedroom,f_bathroom,f_number_of_reviews,f_minimum_nights,flag_review_scores_rating,flag_reviews_per_month,flag_n_number_of_reviews
0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Entire apartment,Prenzlauer Berg Südwest,90,4,1,93,146,1,62,2,1.04,90,3176,Prenzlauer Berg Südwest,Entire apartment,4.499809670330265,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,0,4.990432586778736,1,2,3,3,0,0,0
0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,Entire loft,Frankfurter Allee Süd FK,79,2,1,99,133,1,7,1,1.01,79,6883,Frankfurter Allee Süd FK,Entire loft,4.3694478524670215,4,0.6931471805599453,0.4804530139182014,0,0,4.897839799950911,1,2,3,3,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Entire apartment,nördliche Luisenstadt,90,5,1,94,48,1,60,3,0.37,90,16644,nördliche Luisenstadt,Entire apartment,4.499809670330265,25,1.6094379124341003,2.5902903939802346,1.0986122886681098,0,3.8918202981106265,1,2,2,3,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,Entire apartment,südliche Luisenstadt,28,2,1,96,278,1,5,0,2.11,28,17904,südliche Luisenstadt,Entire apartment,3.332204510175204,4,0.6931471805599453,0.4804530139182014,0,0,5.631211781821365,1,2,3,3,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,Entire loft,Prenzlauer Berg Südwest,159,4,1,89,86,2,3,2,0.86,159,20858,Prenzlauer Berg Südwest,Entire loft,5.0689042022202315,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,0.6931471805599453,4.465908118654584,2,2,3,3,0,0,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Entire apartment,nördliche Luisenstadt,70,4,1,95,60,1,60,2,0.48,70,21869,nördliche Luisenstadt,Entire apartment,4.248495242049359,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,0,4.110873864173311,1,2,3,3,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Entire apartment,Brunnenstr. Nord,65,2,1,94,181,2,90,4,1.53,65,22438,Brunnenstr. Nord,Entire apartment,4.174387269895637,4,0.6931471805599453,0.4804530139182014,1.3862943611198906,0.6931471805599453,5.204006687076795,2,2,3,3,0,0,0
0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,Entire apartment,Brunnenstr. Süd,160,5,1,95,309,1,2,4,2.49,160,22677,Brunnenstr. Süd,Entire apartment,5.075173815233827,25,1.6094379124341003,2.5902903939802346,1.3862943611198906,0,5.736572297479192,1,2,3,2,0,0,0
0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,Entire condominium,Tempelhofer Vorstadt,65,4,1,90,100,1,185,3,1.17,65,23834,Tempelhofer Vorstadt,Entire condominium,4.174387269895637,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,0,4.61512051684126,1,2,3,3,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Entire apartment,Prenzlauer Berg Südwest,145,4,2.5,94,21,2,4,2,0.17,145,24569,Prenzlauer Berg Südwest,Entire apartment,4.976733742420574,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,0.6931471805599453,3.091042453358316,2,3,2,3,0,0,0
