"","variable","ols_coefficient","lasso_coefficient"
"1","(Intercept)",-76.7988400811866,80.6141015921114
"2","d_air_conditioning",10.4765622809318,1.89853726082321
"3","d_bathrobes",NA,NA
"4","d_bathtub",0.759998853945758,NA
"5","d_bedroom_essentials",-4.05750387954924,-1.38992941748055
"6","d_bidet",69.1109885107953,0.287481171052357
"7","d_carbon_monoxide_alarm",-4.36908751686113,-1.38236086087394
"8","d_cleaning_before_checkout",-0.680454874218051,NA
"9","d_clothing_storage",11.5159259421713,NA
"10","d_dining_table",-32.6968194109148,-0.372427606248371
"11","d_dishwasher",7.30637953992688,3.01420309371017
"12","d_dryer",6.72712293646129,1.73190722338926
"13","d_elevator",9.2825212653208,3.9551294432863
"14","d_entertainment",8.33970412364869,0.830743042022822
"15","d_essentials",2.11140021762919,0.309485842920206
"16","d_fire_extinguisher",3.11605221641047,0.903841048734504
"17","d_first_aid_kit",-0.560589112610368,NA
"18","d_fitness_centre",21.1032098081037,2.45899249237563
"19","d_free_parking",-2.07527246953833,-0.752776486578091
"20","d_garden_backyard_balcony_agg",5.30045495847063,2.11638889627244
"21","d_hair_dryer",5.31882814650877,2.19242272951615
"22","d_hangers",1.13448347964586,0.198215824854749
"23","d_heating",-3.64764282362122,-0.346291806200742
"24","d_host_greets_you",-0.826150862985352,-0.098287604274191
"25","d_hot_tub",-0.0615193347305674,NA
"26","d_hot_water",1.49343615061328,0.00862193518042198
"27","d_housekeeping",NA,NA
"28","d_indoor_fireplace",26.6895073620949,4.16809619399571
"29","d_iron",1.24830805608154,0.38127987499102
"30","d_keypad",2.04238775247283,0.025493511639775
"31","d_kid_friendly",1.41666862119308,0.434230022063996
"32","d_kitchen",-0.748705908529937,NA
"33","d_kitchenware",-1.04991987549816,NA
"34","d_pets_allowed",51.4865423097636,0.555939901698566
"35","d_pool",9.53032193110423,0.38472112174227
"36","d_refrigerator",3.38272170808686,1.32331007086598
"37","d_safe_box",1.03747247611938,NA
"38","d_self_checkin",-15.1660215212022,NA
"39","d_smart_lock",-5.64780587912972,-0.343989233068035
"40","d_smoke_alarm",-0.282972793675018,NA
"41","d_smoking_allowed",NA,NA
"42","d_sound_system",-5.01220142091339,-0.250446613679009
"43","d_stove_or_oven",0.583143880006937,NA
"44","d_toiletries",NA,NA
"45","d_tv",4.91718547172152,2.24384499801389
"46","d_washer",-3.00278948473353,-0.662813293321729
"47","d_wifi",5.37798062720171,0.935081552774188
"48","d_workspace",-1.38082285747232,-0.259233100096096
"49","f_bathroom",39.5381379610431,9.37412500668605
"50","f_bedroom",12.8674287030954,6.99972348779908
"51","f_number_of_reviews",3.3582912395023,NA
"52","f_property_typeEntire condominium",17.9901410662603,NA
"53","f_property_typeEntire condominium:d_air_conditioning",86.5432172218904,2.57428284038886
"54","f_property_typeEntire condominium:d_dishwasher",0.732116936433685,NA
"55","f_property_typeEntire condominium:d_elevator",19.5160114762187,1.4352732812682
"56","f_property_typeEntire condominium:f_number_of_reviews",-10.2517530558524,-0.254273110319799
"57","f_property_typeEntire loft",46.2657181306916,3.62635536615338
"58","f_property_typeEntire loft:d_air_conditioning",30.6630265302332,1.55052798055067
"59","f_property_typeEntire loft:d_dishwasher",0.596137746623525,NA
"60","f_property_typeEntire loft:d_elevator",28.2165540420206,2.73157213920771
"61","f_property_typeEntire loft:f_number_of_reviews",-12.1183633932622,NA
"62","f_property_typeEntire serviced apartment",1.7500397264173,0.862406048614224
"63","f_property_typeEntire serviced apartment:d_air_conditioning",36.4118416969665,3.09657930653338
"64","f_property_typeEntire serviced apartment:d_dishwasher",14.5150107582821,1.70510333158079
"65","f_property_typeEntire serviced apartment:d_elevator",24.5293947461462,2.3718827485281
"66","f_property_typeEntire serviced apartment:f_number_of_reviews",4.10153774116911,0.969297789379851
"67","flag_n_number_of_reviews",4.60946795103187,0.476733367529368
"68","n_accommodates",-2.69839999124985,NA
"69","n_accommodates2",1.45251016877573,9.96282944974382
"70","n_minimum_nights",-0.0874714484890807,-2.98319410644832
"71","n_number_of_reviews",-0.0251374649467032,-0.387135042219234
"72","n_review_scores_rating",0.297000348350166,1.96032046714127
